"treatment","women_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","num_excluded_total"
1,1,"treat","women",0,3,0,"Sundar Pichai (CEO of Alphabet Inc.)","Lisa Su (CEO of AMD)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Mary Barra (CEO of General Motors)","Larry Page (Co-founder of Google)","White / Caucasian","Woman",35,52
0,1,"control","women",1,3,0,"Carol Tomé (CEO of UPS)","Jane Fraser (CEO of Citigroup)","Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Julia Hartz (Co-founder of EventBrite)","Arianna Huffington (Founder of Thrive Global)","White / Caucasian","Woman",37,52
1,0,"treat","men",1,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Larry Page (Co-founder of Google)","Jensen Huang (CEO of NVIDIA)","Sundar Pichai (CEO of Alphabet Inc.)","Tim Cook (CEO of Apple)","Lloyd Blankfein (Former CEO of Goldman Sachs)","Whitney Wolfe Herd (Founder of Bumble)","White / Caucasian","Woman",59,52
0,0,"control","men",1,3,0,"Bill Gates (Co-founder of Microsoft)","Jamie Dimon (CEO of JPMorgan Chase)","Kendra Scott (Founder of Kendra Scott)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","White / Caucasian","Woman",37,52
1,1,"treat","women",0,4,0,"Larry Page (Co-founder of Google)","Linda Yaccarino (CEO of X)","Carol Tomé (CEO of UPS)","Tim Cook (CEO of Apple)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Phil Knight (Co-founder of Nike)","White / Caucasian","Man",29,52
0,1,"control","women",1,1,0,"Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Sundar Pichai (CEO of Alphabet Inc.)","Kate Johnson (CEO of Lumen Technologies)","Carol Tomé (CEO of UPS)","White / Caucasian","Man",42,52
1,1,"treat","women",0,4,0,"Larry Page (Co-founder of Google)","Jessica Alba (Founder of The Honest Company)","Julia Hartz (Co-founder of EventBrite)","Christine Leahy (CEO of CDW)","Lisa Su (CEO of AMD)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","White / Caucasian","Man",59,52
0,0,"control","men",0,3,0,"Mary Barra (CEO of General Motors)","Michael Bloomberg (Co-founder of Bloomberg LP)","Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Leah Busque (Founder of TaskRabbit)","Jane Fraser (CEO of Citigroup)","Jensen Huang (CEO of NVIDIA)","White / Caucasian","Man",72,52
1,0,"treat","men",1,1,0,"Bill Gates (Co-founder of Microsoft)","Tim Cook (CEO of Apple)","Jensen Huang (CEO of NVIDIA)","Lisa Su (CEO of AMD)","Jeff Bezos (Founder of Amazon)","Sundar Pichai (CEO of Alphabet Inc.)","Jane Fraser (CEO of Citigroup)","Hispanic / Latinx","Man",20,52
1,0,"treat","men",0,1,0,"Larry Page (Co-founder of Google)","Warren Buffett (CEO of Berkshire Hathaway)","Jamie Dimon (CEO of JPMorgan Chase)","Michael Bloomberg (Co-founder of Bloomberg LP)","Mary Barra (CEO of General Motors)","Brian Moynihan (CEO of Bank of America)","Jeff Bezos (Founder of Amazon)","White / Caucasian","Man",40,52
1,0,"treat","men",1,1,0,"Jamie Dimon (CEO of JPMorgan Chase)","Jensen Huang (CEO of NVIDIA)","Mary Barra (CEO of General Motors)","Satya Nadella (CEO of Microsoft)","Jeff Bezos (Founder of Amazon)","Brian Moynihan (CEO of Bank of America)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",26,52
1,0,"treat","men",1,2,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Satya Nadella (CEO of Microsoft)","Jensen Huang (CEO of NVIDIA)","Mary Barra (CEO of General Motors)","Lisa Su (CEO of AMD)","Kendra Scott (Founder of Kendra Scott)","White / Caucasian","Man",38,52
0,0,"control","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Larry Page (Co-founder of Google)","Jeff Bezos (Founder of Amazon)","Mark Zuckerberg (Co-founder of Facebook)","Phil Knight (Co-founder of Nike)","Howard Schultz (Founder of Starbucks)","Daymond John (Founder of FUBU)","Black or African American","Woman",37,52
0,1,"control","women",1,0,0,"Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Daymond John (Founder of FUBU)","Warren Buffett (CEO of Berkshire Hathaway)","Sundar Pichai (CEO of Alphabet Inc.)","Jessica Alba (Founder of The Honest Company)","White / Caucasian","Man",39,52
