"gender_feedback","budget_shown","year_shown","poli_shown","female_pick","budget_pick","year_pick","poli_pick","gender","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","age","gender_code","race_code"
1,1,1,0,1,0,0,0,"Woman",1,"A Beautiful Mind","The Aviator","Oppenheimer","Jobs","Marie Antoinette","A Beautiful Day in the Neighborhood","Coco Before Chanel","White / Caucasian",46,0,1
0,1,1,1,0,1,1,1,"Man",1,"The Darkest Hour","A Beautiful Day in the Neighborhood","The Imitation Game","On The Basis of Sex","The Doors","Jobs","Lincoln","White / Caucasian",66,1,1
1,1,1,0,0,1,1,0,"Man",0,"Oppenheimer","Braveheart","Amadeus","The Doors","Lincoln","JFK","Moneyball","White / Caucasian",42,1,1
1,0,1,1,0,0,1,1,"Woman",0,"Tolkien","W. A Life Misunderstood","A Beautiful Day in the Neighborhood","Jobs","Lincoln","Hitchcock","J. Edgar","Black or African American",44,0,0
0,1,1,1,0,1,0,1,"Man",0,"Amadeus","The Aviator","Moneyball","Nixon","JFK","The Imitation Game","Braveheart","White / Caucasian",37,1,1
1,1,1,0,1,0,0,0,"Man",1,"Marie Antoinette","Chaplin","Hitchcock","Tolkien","A Beautiful Day in the Neighborhood","The Imitation Game","Coco Before Chanel","White / Caucasian",30,1,1
0,1,1,1,0,1,0,0,"Man",0,"Oppenheimer","The Aviator","Jobs","The Doors","The Imitation Game","Amadeus","A Beautiful Mind","White / Caucasian",29,1,1
1,0,1,1,0,0,1,0,"Woman",2,"Oppenheimer","Judy","Capote","Jobs","The Iron Lady","Nixon","A Beautiful Day in the Neighborhood","White / Caucasian",52,0,1
1,1,1,0,1,1,0,1,"Woman",1,"Jobs","Moneyball","A Beautiful Day in the Neighborhood","W. A Life Misunderstood","The Aviator","On The Basis of Sex","Marie Antoinette","White / Caucasian",48,0,1
0,1,1,1,0,0,1,0,"Man",0,"J. Edgar","Lincoln","Oppenheimer","The Darkest Hour","Jobs","Moneyball","Tolkien","White / Caucasian",42,1,1
0,1,1,1,0,0,1,0,"Woman",2,"Jobs","Marie Antoinette","Judy","Chaplin","Hitchcock","Nixon","A Beautiful Day in the Neighborhood","White / Caucasian",30,0,1
0,1,1,1,0,0,0,0,"Man",1,"JFK","The Aviator","Marie Antoinette","Moneyball","Lincoln","Amadeus","Chaplin","White / Caucasian",47,1,1
1,1,1,0,1,0,0,0,"Man",0,"A Beautiful Day in the Neighborhood","The Darkest Hour","Lincoln","Chaplin","Jobs","Oppenheimer","Coco Before Chanel","White / Caucasian",56,1,1
1,0,1,1,1,0,1,0,"Man",0,"A Beautiful Day in the Neighborhood","Tolkien","Hitchcock","Braveheart","Jobs","Lincoln","Judy","White / Caucasian",48,1,1
0,1,1,1,0,0,1,0,"Man",2,"A Beautiful Day in the Neighborhood","Oppenheimer","Lincoln","Judy","Chaplin","On The Basis of Sex","Tolkien","White / Caucasian",58,1,1
1,1,1,0,0,0,0,1,"Man",0,"A Beautiful Day in the Neighborhood","Lincoln","Amadeus","Hitchcock","Oppenheimer","Braveheart","Nixon","White / Caucasian",54,1,1
1,0,1,1,1,0,0,0,"Man",0,"Chaplin","Amadeus","Oppenheimer","A Beautiful Day in the Neighborhood","The Darkest Hour","Moneyball","Coco Before Chanel","White / Caucasian",28,1,1
