"female_pick","tech_pick","founder_pick","gender_feedback","founder_comp","tech_comp","male_pool","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
1,0,0,0,0.5,0.5,1,0,0,0,0,0,0,"Carol Tome (CEO of UPS)","White / Caucasian","Woman",39,0,1,126
1,0,0,0,0.384615384615385,0.5,0,1,0,1,0,0,0,"Mary Barra (CEO of General Motors)","White / Caucasian","Man",29,1,1,126
1,0,1,0,0.384615384615385,0.423076923076923,0,0,0,0,1,1,0,"Tory Burch (Founder of Tory Burch)","White / Caucasian","Woman",36,0,1,126
1,0,0,0,0.461538461538462,0.461538461538462,0,1,1,1,1,1,1,"Mary Barra (CEO of General Motors)","Black or African American","Woman",58,0,0,126
1,0,1,1,0.576923076923077,0.461538461538462,1,0,0,0,1,0,0,"Julia Hartz (Founder of EventBrite)","White / Caucasian","Man",35,1,1,126
1,0,0,1,0.423076923076923,0.384615384615385,0,1,1,1,0,0,1,"Michelle Buck (CEO of The Hershey Company)","White / Caucasian","Woman",58,0,1,126
1,0,0,1,0.346153846153846,0.384615384615385,0,0,1,0,1,0,1,"Carol Tome (CEO of UPS)","White / Caucasian","Man",37,1,1,126
1,0,0,1,0.346153846153846,0.461538461538462,0,0,1,1,0,0,1,"Delphine Arnault (CEO of Christian Dior)","White / Caucasian","Man",31,1,1,126
1,0,0,0,0.346153846153846,0.461538461538462,0,0,1,1,1,1,1,"Carol Tome (CEO of UPS)","Asian / Pacific Islander","Woman",39,0,0,126
1,0,0,1,0.5,0.5,1,0,0,1,0,1,0,"Oprah Winfrey (CEO of Oprah Winfrey Network)","White / Caucasian","Woman",54,0,1,126
1,0,1,0,0.423076923076923,0.384615384615385,0,0,0,1,1,0,1,"Tory Burch (Founder of Tory Burch)","White / Caucasian","Woman",41,0,1,126
1,0,0,0,0.5,0.461538461538462,1,0,0,0,1,0,0,"Rosalind Brewer (CEO of Walgreens)","White / Caucasian","Man",61,1,1,126
1,0,0,1,0.461538461538462,0.423076923076923,1,0,0,1,1,0,1,"Carol Tome (CEO of UPS)","Asian / Pacific Islander","Woman",29,0,0,126
0,0,0,0,0.5,0.423076923076923,1,0,0,0,1,1,0,"Marvin Ellison (CEO of Lowe’s)","White / Caucasian","Woman",70,0,1,126
1,0,0,1,0.423076923076923,0.423076923076923,0,0,0,0,1,1,1,"Jane Fraser (CEO of Citigroup)","White / Caucasian","Man",33,1,1,126
