"encouragement","gender_feedback","female","episodes_pick","episodes_shown","duration_shown","duration_pick","years_pick","years_shown","base_gender","gender","race","age","gender_code","race_code","num_excluded_total"
1,0,0,0,1,1,1,0,1,1,"Woman","White / Caucasian",39,0,1,99
1,1,1,0,1,0,0,1,1,0,"Man","White / Caucasian",36,1,1,99
1,1,0,1,1,1,0,0,0,1,"Woman","White / Caucasian",36,0,1,99
1,0,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",37,0,1,99
1,1,0,0,1,0,0,1,1,0,"Man","Hispanic / Latinx",32,1,0,99
1,1,1,0,1,1,0,1,0,0,"Man","White / Caucasian",45,1,1,99
1,0,0,1,1,1,1,0,1,3,"Man","Black or African American",29,1,0,99
1,1,1,1,1,1,0,1,0,2,"Woman","White / Caucasian",56,0,1,99
0,1,1,0,0,1,0,1,1,1,"Woman","White / Caucasian",35,0,1,99
1,0,1,1,1,1,0,1,1,0,"Man","Asian / Pacific Islander",31,1,0,99
1,0,0,0,1,1,0,1,1,0,"Woman","White / Caucasian",32,0,1,99
1,1,1,0,1,0,0,1,1,1,"Woman","White / Caucasian",32,0,1,99
0,1,1,0,0,1,0,1,1,1,"Man","White / Caucasian",44,1,1,99
0,1,1,0,0,1,0,1,1,0,"Man","Hispanic / Latinx",27,1,0,99
0,1,1,1,1,1,0,1,0,1,"Man","White / Caucasian",46,1,1,99
1,1,1,0,1,1,0,1,0,1,"Man","White / Caucasian",37,1,1,99
0,1,0,1,0,1,1,0,1,1,"Woman","White / Caucasian",52,0,1,99
1,1,0,1,1,0,0,0,1,0,"Man","White / Caucasian",37,1,1,99
0,0,1,1,1,1,0,1,1,1,"Man","Hispanic / Latinx",31,1,0,99
0,0,1,0,1,1,0,1,1,2,"Woman","Asian / Pacific Islander",35,0,0,99
0,0,0,1,1,1,1,0,1,1,"Man","Asian / Pacific Islander",43,1,0,99
1,1,0,0,0,1,0,1,1,4,"Woman","White / Caucasian",38,0,1,99
1,0,0,0,1,1,0,1,1,0,"Woman","White / Caucasian",34,0,1,99
1,0,1,0,1,1,0,1,1,1,"Man","Black or African American",54,1,0,99
1,0,1,0,1,1,0,0,1,2,"Man","White / Caucasian",68,1,1,99
1,1,1,0,1,0,0,1,1,1,"Man","White / Caucasian",30,1,1,99
0,1,0,1,0,1,0,0,1,2,"Man","White / Caucasian",60,1,1,99
1,1,0,0,1,0,1,0,1,0,"Man","Hispanic / Latinx",30,1,0,99
1,1,1,0,1,1,0,1,0,2,"Woman","White / Caucasian",36,0,1,99
1,1,0,0,1,1,1,0,0,3,"Woman","White / Caucasian",44,0,1,99
0,0,0,0,1,1,0,0,1,1,"Woman","Asian / Pacific Islander",32,0,0,99
0,0,0,0,1,1,0,0,1,2,"Man","Black or African American",39,1,0,99
1,0,0,1,1,1,0,0,1,0,"Woman","White / Caucasian",66,0,1,99
1,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",68,0,1,99
1,0,1,1,1,1,0,1,1,1,"Woman","White / Caucasian",61,0,1,99
0,0,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",58,0,1,99
1,0,1,1,1,1,0,1,1,0,"Man","White / Caucasian",45,1,1,99
0,0,0,0,1,1,0,1,1,2,"Woman","White / Caucasian",64,0,1,99
0,1,1,1,0,1,0,1,1,1,"Man","White / Caucasian",42,1,1,99
0,1,0,1,1,0,0,0,1,1,"Man","White / Caucasian",33,1,1,99
0,0,1,0,1,1,0,1,1,2,"Man","White / Caucasian",34,1,1,99
0,1,0,0,1,1,1,0,0,1,"Woman","White / Caucasian",36,0,1,99
0,1,0,1,1,1,0,0,0,0,"Man","White / Caucasian",39,1,1,99
1,0,0,1,1,1,1,0,1,2,"Woman","White / Caucasian",53,0,1,99
0,0,0,1,1,1,0,0,1,2,"Woman","White / Caucasian",56,0,1,99
0,1,0,0,0,1,0,1,1,1,"Woman","American Indian or Alaskan Native",50,0,0,99
1,0,1,0,1,1,0,1,1,0,"Man","White / Caucasian",48,1,1,99
1,1,0,1,0,1,0,0,1,0,"Man","Black or African American",43,1,0,99
1,0,0,0,1,1,0,1,1,3,"Woman","White / Caucasian",58,0,1,99
1,0,0,0,1,1,1,0,1,2,"Woman","White / Caucasian",60,0,1,99
1,0,0,1,1,1,0,0,1,2,"Man","Black or African American",30,1,0,99
0,1,0,0,0,1,0,1,1,3,"Woman","White / Caucasian",50,0,1,99
0,0,0,0,1,1,0,1,1,1,"Man","White / Caucasian",65,1,1,99
1,0,1,0,1,1,0,1,1,1,"Woman","Asian / Pacific Islander",50,0,0,99
0,1,0,1,0,1,0,1,1,2,"Woman","White / Caucasian",59,0,1,99
1,1,0,0,0,1,1,0,1,2,"Woman","White / Caucasian",58,0,1,99
0,0,0,1,1,1,0,0,1,1,"Man","White / Caucasian",33,1,1,99
0,0,0,0,1,1,1,0,1,2,"Man","White / Caucasian",47,1,1,99
0,1,1,0,0,1,0,1,1,1,"Man","White / Caucasian",37,1,1,99
1,1,0,1,1,1,0,0,0,0,"Man","White / Caucasian",50,1,1,99
1,1,0,0,1,1,0,1,0,2,"Man","White / Caucasian",48,1,1,99
1,1,0,0,0,1,0,1,1,0,"Man","Black or African American",30,1,0,99
0,1,0,0,0,1,0,1,1,3,"Woman","White / Caucasian",55,0,1,99
1,0,0,0,1,1,1,0,1,2,"Woman","White / Caucasian",36,0,1,99
0,1,1,0,1,1,0,1,0,1,"Woman","White / Caucasian",58,0,1,99
1,0,1,0,1,1,0,0,1,2,"Man","White / Caucasian",48,1,1,99
1,0,0,1,1,1,1,0,1,1,"Woman","White / Caucasian",67,0,1,99
0,0,0,0,1,1,0,1,1,2,"Woman","Hispanic / Latinx",45,0,0,99
1,0,0,1,1,1,0,0,1,0,"Man","Black or African American",36,1,0,99
1,1,0,1,1,1,0,0,0,1,"Woman","White / Caucasian",41,0,1,99
0,1,0,0,1,1,0,0,0,2,"Woman","Black or African American",30,0,0,99
0,0,0,0,1,1,0,1,1,3,"Woman","White / Caucasian",59,0,1,99
0,0,0,0,1,1,0,0,1,2,"Woman","White / Caucasian",25,0,1,99
0,0,0,1,1,1,0,0,1,0,"Man","White / Caucasian",29,1,1,99
1,1,1,0,0,1,0,1,1,1,"Man","Black or African American",31,1,0,99
0,1,0,0,0,1,0,1,1,0,"Man","American Indian or Alaskan Native",40,1,0,99
0,0,0,0,1,1,0,1,1,1,"Woman","White / Caucasian",32,0,1,99
0,1,0,1,1,1,1,0,0,1,"Man","White / Caucasian",43,1,1,99
1,0,0,0,1,1,0,1,1,0,"Woman","White / Caucasian",27,0,1,99
1,1,0,0,1,0,0,1,1,1,"Woman","White / Caucasian",42,0,1,99
0,0,0,1,1,1,0,0,1,2,"Man","White / Caucasian",61,1,1,99
1,1,1,1,0,1,0,1,1,2,"Woman","White / Caucasian",49,0,1,99
1,0,0,0,1,1,1,0,1,1,"Man","Asian / Pacific Islander",33,1,0,99
0,1,1,1,1,1,0,1,0,0,"Man","White / Caucasian",76,1,1,99
1,1,1,0,1,1,0,1,0,2,"Man","White / Caucasian",55,1,1,99
1,0,0,0,1,1,0,0,1,2,"Woman","White / Caucasian",38,0,1,99
0,1,0,0,1,0,0,1,1,2,"Man","Asian / Pacific Islander",44,1,0,99
0,0,0,0,1,1,0,1,1,3,"Woman","Hispanic / Latinx",44,0,0,99
0,1,0,1,0,1,0,0,1,0,"Man","White / Caucasian",53,1,1,99
0,1,1,0,1,0,0,1,1,0,"Man","Hispanic / Latinx",25,1,0,99
0,0,0,0,1,1,1,0,1,1,"Man","White / Caucasian",43,1,1,99
1,0,0,1,1,1,0,0,1,2,"Woman","White / Caucasian",61,0,1,99
1,0,0,0,1,1,1,0,1,0,"Man","White / Caucasian",26,1,1,99
1,1,0,0,1,1,0,1,0,3,"Man","Asian / Pacific Islander",40,1,0,99
0,1,0,1,1,1,0,0,0,1,"Man","White / Caucasian",35,1,1,99
1,0,0,0,1,1,1,0,1,0,"Man","White / Caucasian",54,1,1,99
0,0,0,1,1,1,0,0,1,2,"Woman","Black or African American",52,0,0,99
1,1,0,1,1,0,0,0,1,1,"Woman","White / Caucasian",49,0,1,99
1,1,1,1,1,1,0,1,0,1,"Man","White / Caucasian",68,1,1,99
1,0,0,0,1,1,0,0,1,2,"Man","White / Caucasian",40,1,1,99
0,0,0,0,1,1,1,0,1,0,"Man","White / Caucasian",37,1,1,99
0,0,0,0,1,1,1,0,1,1,"Woman","White / Caucasian",48,0,1,99
