"treatment","men_pool","cond","pool","female_pick","base_gender","tech_pick","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","fair1_num","fair2_num","fair3_num","fairness","I1_num","I2_num","I3_num","I4_num","internal_motivation","E1_num","E2_num","E3_num","external_motivation","num_excluded_total"
1,0,"treat","women",1,3,0,"Julia Hartz (Co-founder of EventBrite)","Larry Page (Co-founder of Google)","Tim Cook (CEO of Apple)","Phil Knight (Co-founder of Nike)","Linda Yaccarino (CEO of X)","Oprah Winfrey (Founder of OWN)","Gail Boudreaux (CEO of Elevance Health)","White / Caucasian","Woman",47,7,7,6,6.66666666666667,5,7,7,7,6.5,6,5,5,5.33333333333333,68
1,1,"treat","men",0,0,0,"Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Tim Cook (CEO of Apple)","Satya Nadella (CEO of Microsoft)","Larry Page (Co-founder of Google)","Brian Moynihan (CEO of Bank of America)","Jensen Huang (CEO of NVIDIA)","White / Caucasian","Man",26,2,2,2,2,1,2,4,2,2.25,1,2,2,1.66666666666667,68
0,1,"control","men",0,1,0,"Howard Schultz (Founder of Starbucks)","Satya Nadella (CEO of Microsoft)","Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Michael Bloomberg (Co-founder of Bloomberg LP)","Kendra Scott (Founder of Kendra Scott)","Phil Knight (Co-founder of Nike)","White / Caucasian","Woman",50,1,1,3,1.66666666666667,2,2,5,2,2.75,1,2,1,1.33333333333333,68
0,1,"control","men",0,1,0,"Tim Cook (CEO of Apple)","Warren Buffett (CEO of Berkshire Hathaway)","Jamie Dimon (CEO of JPMorgan Chase)","Jeff Bezos (Founder of Amazon)","Leah Busque (Founder of TaskRabbit)","Michael Bloomberg (Co-founder of Bloomberg LP)","Jensen Huang (CEO of NVIDIA)","White / Caucasian","Woman",26,4,4,4,4,4,4,4,4,4,4,4,4,4,68
1,1,"treat","men",0,0,0,"Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Jamie Dimon (CEO of JPMorgan Chase)","Larry Page (Co-founder of Google)","Mark Zuckerberg (Co-founder of Facebook)","White / Caucasian","Man",38,4,4,4,4,4,4,4,4,4,4,4,4,4,68
0,0,"control","women",1,3,0,"Warren Buffett (CEO of Berkshire Hathaway)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Mary Barra (CEO of General Motors)","Jane Fraser (CEO of Citigroup)","Sundar Pichai (CEO of Alphabet Inc.)","Carol Tomé (CEO of UPS)","White / Caucasian","Man",64,1,1,1,1,1,1,5,1,2,1,1,1,1,68
0,0,"control","women",1,3,0,"Larry Page (Co-founder of Google)","Phil Knight (Co-founder of Nike)","Tim Cook (CEO of Apple)","Oprah Winfrey (Founder of OWN)","Michele Buck (CEO of Hershey)","Carol Tomé (CEO of UPS)","Gail Boudreaux (CEO of Elevance Health)","White / Caucasian","Man",65,2,2,3,2.33333333333333,2,3,5,3,3.25,2,2,2,2,68
0,1,"control","men",1,2,0,"Bill Gates (Co-founder of Microsoft)","Jeff Bezos (Founder of Amazon)","Larry Page (Co-founder of Google)","Jane Fraser (CEO of Citigroup)","Warren Buffett (CEO of Berkshire Hathaway)","Kendra Scott (Founder of Kendra Scott)","Leah Busque (Founder of TaskRabbit)","White / Caucasian","Woman",56,7,7,7,7,7,7,7,7,7,2,2,1,1.66666666666667,68
1,0,"treat","women",1,5,0,"Arianna Huffington (Founder of Thrive Global)","Christine Leahy (CEO of CDW)","Kendra Scott (Founder of Kendra Scott)","Larry Page (Co-founder of Google)","Leah Busque (Founder of TaskRabbit)","Michele Buck (CEO of Hershey)","Sara Blakely (Founder of Spanx)","Hispanic / Latinx","Woman",28,2,2,2,2,4,2,4,7,4.25,4,7,4,5,68
1,0,"treat","women",1,4,0,"Melanie Perkins (Founder of Canva)","Phil Knight (Co-founder of Nike)","Kendra Scott (Founder of Kendra Scott)","Jessica Alba (Founder of The Honest Company)","Julia Hartz (Co-founder of EventBrite)","Tim Cook (CEO of Apple)","Arianna Huffington (Founder of Thrive Global)","White / Caucasian","Woman",24,5,5,5,5,5,6,6,6,5.75,3,5,5,4.33333333333333,68
