"minority_feedback","forms_shown","sold30m_shown","classic_shown","minority_pick","forms_pick","sold30m_pick","classic_pick","base_minority","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,1,0,0,0,0,"Ray Bradbury","Ernest Hemingway","George Orwell","John Steinbeck","Charles Dickens","Michael Crichton","Alice Walker","White / Caucasian","Woman",54,0,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,1,1,0,1,1,0,0,0,"Charles Dickens","Sylvia Plath","Ernest Hemingway","John Steinbeck","George Orwell","Jane Austen","Sandra Cisneros","White / Caucasian","Man",39,1,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.55838665775685,1.86483635277739,1.81494498629884,1.82770583556775,1.23727512922178,-0.368409467392785,-0.967724369004566,-0.89626510007028,-0.744132978822544,36
0,1,1,1,1,1,0,1,1,"Ray Bradbury","Michael Crichton","Louisa May Alcott","Sandra Cisneros","Agatha Christie","J.R.R. Tolkien","WEB Du Bois","Asian / Pacific Islander","Woman",29,0,0,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.55838665775685,0.867187275159856,0.833213301615697,-0.616756701714219,0.131314304326121,1.3285947721724,-0.406098619135845,-0.303818677989925,0.206225825015545,36
0,1,1,1,1,1,0,1,2,"Alice Walker","Toni Morrison","J.R.R. Tolkien","Jane Austen","Ernest Hemingway","Charles Dickens","WEB Du Bois","Black or African American","Woman",50,0,0,"5Slightly conservative",5,1,"Independent",0,1,0,0.498753131200294,0.368362736351089,0.833213301615697,0.849920820654961,0.63756249745551,0.762926692317342,-0.406098619135845,0.288627744090429,0.215151939090642,36
0,1,1,1,0,0,0,1,4,"Alice Walker","WEB Du Bois","Toni Morrison","Isabel Allende","Ernest Hemingway","Charles Dickens","Jane Austen","Black or African American","Woman",47,0,0,"5Slightly conservative",5,1,"Independent",0,1,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,0,1,1,0,1,0,1,1,"Ernest Hemingway","Alice Walker","Joyce Carol Oates","Michael Crichton","Jane Austen","F. Scott Fitzgerald","Agatha Christie","White / Caucasian","Woman",65,0,1,"5Slightly conservative",5,1,"Independent",0,1,0,-0.0298167632782783,-0.130461802457677,-0.14851838306745,-0.616756701714219,-0.231388412629406,-0.934077547247848,-0.406098619135845,-0.303818677989925,-0.547998281457873,36
0,1,1,1,0,0,0,1,1,"Louisa May Alcott","Toni Morrison","F. Scott Fitzgerald","Jane Austen","Joyce Carol Oates","Agatha Christie","Ernest Hemingway","White / Caucasian","Woman",46,0,1,"6Conservative",6,2,"Republican",0,0,1,-1.08695655223542,-0.130461802457677,-0.14851838306745,-0.616756701714219,-0.495673359868692,-0.368409467392785,-0.406098619135845,-0.89626510007028,-0.55692439553297,36
1,0,1,1,0,1,1,1,4,"Sylvia Plath","Agatha Christie","Alice Walker","Toni Morrison","Gabriel Garcia Marquez","WEB Du Bois","George Orwell","White / Caucasian","Woman",45,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
0,1,1,1,1,1,0,0,1,"Nathaniel Hawthorne","Toni Morrison","Charles Dickens","Ernest Hemingway","George Orwell","F. Scott Fitzgerald","Sandra Cisneros","Black or African American","Woman",33,0,0,"2Liberal",2,-2,"Democrat",1,0,0,-0.0298167632782783,-0.130461802457677,-0.14851838306745,-0.127864194257826,-0.109165285765308,0.197258612462279,0.155527130732877,0.288627744090429,0.213804495761861,36
0,1,1,1,0,1,0,1,0,"Charles Dickens","Emily Bronte","Michael Crichton","George Orwell","Sylvia Plath","J.R.R. Tolkien","Ray Bradbury","White / Caucasian","Man",42,1,1,"4Moderate; middle of the road",4,0,"Independent",0,1,0,-1.08695655223542,-1.12811088007521,-1.1302500677506,-1.10564920917061,-1.11274167730796,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
1,0,1,1,0,0,1,1,0,"Lucy Maud","Louisa May Alcott","F. Scott Fitzgerald","J.R.R. Tolkien","Nathaniel Hawthorne","Michael Crichton","J.D. Salinger","White / Caucasian","Woman",35,0,1,"6Conservative",6,2,"Republican",0,0,1,-0.55838665775685,-0.629286341266444,-0.639384225409024,-0.616756701714219,-0.610953481536634,-0.368409467392785,-0.406098619135845,-0.303818677989925,-0.359442254839518,36
1,1,0,1,0,0,1,1,0,"F. Scott Fitzgerald","J.D. Salinger","Agatha Christie","George Orwell","Ernest Hemingway","Jane Austen","Charles Dickens","White / Caucasian","Woman",69,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-1.08695655223542,-1.12811088007521,0.342347459274123,-1.10564920917061,-0.744592295551781,-0.934077547247848,-0.967724369004566,-0.89626510007028,-0.932689005440898,36
