"workerId","attribute_clean","importance_clean","gender","num_excluded_total"
"A2JZTR2ZSALGH4","had their work translated into at least 20 languages.",5,"Woman",78
"A10QZC063IGNSU","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",4,"Man",78
"A14ZR4Y55Y47U0","were born in the 1800s.",4,"Woman",78
"AUOYNTK0GOFOM","wrote at least one book that sold over 1 million copies.",3,"Man",78
"A1E8BZC6FKLEIJ","wrote an autobiography.",5,"Man",78
"A1MP2LUZJGEHDA","published their first book in last 5 years.",1,"Man",78
"AD1ILDUXZHASF","have been writing professionally for over 30 years.",2,"Man",78
"ADATJMIZE412Z","were born in the 1800s.",2,"Man",78
"A3NRAEKWOKVUNN","wrote an autobiography.",2,"Woman",78
"A1J21DM2Z753X4","wrote  books, poems or essays spanning multiple genres.",4,"Man",78
"AUFWWPBI8BCWN","published their first book before the age of 25.",1,"Woman",78
"A2K0L9M1ZZO5C9","ever wrote poetry.",4,"Woman",78
"AVMSKBK9JWV0M","ever had their work adapted into a major motion picture.",3,"Man",78
"A1497L153RMH2L","ever wrote fiction.",6,"Man",78
"A11QWLGR1FTZ1B","wrote at least one book that appears on the American Library Association's banned books list.",4,"Man",78
"A2QAIKLUOIKOI5","wrote primarily about war and civil unrest.",1,"Man",78
"A4RWPPTZ8HEAG","won a Pulitzer Prize, Nobel Prize or National Book Award.",7,"Woman",78
"A4E9PAW7HK51E","are still alive.",4,"Woman",78
"AUWM6BKW5836O","wrote at least one book that sold over 1 million copies.",1,"Woman",78
"A1MCJKWCVOMN8O","won a Pulitzer Prize, Nobel Prize or National Book Award.",6,"Woman",78
"A2QQBI5WI2UJ1D","wrote more than 10 books.",4,"Man",78
"A1LBJ5IX3YHCUK","were women.",5,"Woman",78
"ALUDXW3IOA47K","died in the last century.",4,"Woman",78
"A15XMYNO2EXKV1","wrote at least one book that remained in continuous print for over 50 years.",6,"Man",78
"A2HKUIA323TZOW","had their work translated into at least 20 languages.",2,"Man",78
"A1DQU7GUF8OT5C","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Woman",78
"AGUDTMZ93Z5CF","were born in the United States.",1,"Woman",78
"A2Z5SA1J1XN84J","were racial minorities.",4,"Man",78
"A12WRJ2ZMDW3SU","wrote one of the 500 most commonly taught books in US colleges.",3,"Woman",78
"A18EH4D5TVGND5","ever wrote fiction.",2,"Man",78
"A1G98ADVAQS6FL","were racial minorities.",4,"Man",78
"A2BYI9Q8O5OLK2","have been writing professionally for over 30 years.",2,"Woman",78
"A24E737D0977EH","ever had their work adapted into a major motion picture.",2,"Woman",78
"AYJ21KR003B23","wrote an autobiography.",2,"Woman",78
"A1AB1BMULT9JLE","ever had their work included in a major literary anthology (e.g. Norton, Oxford).",1,"Woman",78
"A3Z44CGQUUJ1X","were women.",5,"Man",78
"A18W4LA9HEQ0W6","are still alive.",2,"Man",78
"A2A4LHPXF2E2GS","were born in the United States.",5,"Woman",78
"A14ADQ7RUN6TDY","wrote at least one book that appears on the American Library Association's banned books list.",2,"Man",78
"A173XG3NZ7JPT7","were born in the 1800s.",1,"Woman",78
"A2RWE3W6B5KVEG","wrote at least one book that sold over 1 million copies.",5,"Man",78
"A2LI51CANHJ00M","wrote at least one book that remained in continuous print for over 50 years.",5,"Man",78
"A2EM7RPFW3DU9N","published their first book in last 5 years.",1,"Woman",78
"A1TPGXT718D68E","died in the last century.",1,"Woman",78
"A1OKFYVJTEK4BI","wrote more than 10 books.",4,"Man",78
"A1BBV095XW45EU","published their first book before the age of 25.",4,"Man",78
"AO75QMMJUK1OD","wrote primarily about war and civil unrest.",1,"Woman",78
"A2YBRWIUM45CAJ","wrote one of the 500 most commonly taught books in US colleges.",3,"Woman",78
"A3NX1SYN0N1H5M","wrote  books, poems or essays spanning multiple genres.",2,"Man",78
