"cond","base_condition","gender_feedback","poets_shown","oldies_shown","books_shown","women_shown","female_pick","poets_pick","oldies_pick","books_pick","base_gender","base_poets","base_oldies","base_books","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","num_excluded_total"
"control","high",0,1,1,1,0,0,0,1,1,4,2,3,4,"Lucy Maud","J.R.R. Tolkien","Jack London","Jane Austen","Maya Angelou","J.K. Rowling","Rudyard Kipling","White / Caucasian","Woman",53,0,1,25
"control","low",0,1,1,1,0,0,0,0,0,1,2,2,3,"Kurt Vonnegut","George Orwell","J.K. Rowling","Charles Dickens","Michael Crichton","F. Scott Fitzgerald","Neil Gaiman","White / Caucasian","Man",46,1,1,25
"control","high",0,1,1,1,0,1,1,0,0,3,3,2,2,"Margaret Atwood","Victor Hugo","Zadie Smith","George Orwell","Isabel Allende","Oscar Wilde","Maya Angelou","White / Caucasian","Woman",41,0,1,25
"control","high",0,1,1,1,0,1,1,0,1,2,4,3,1,"Ernest Hemingway","Charles Dickens","Maya Angelou","Oscar Wilde","Sylvia Plath","George Orwell","Margaret Atwood","White / Caucasian","Woman",61,0,1,25
"treat","low",1,1,1,0,1,1,0,0,0,2,2,2,4,"Charles Dickens","Neil Gaiman","J.K. Rowling","Michael Crichton","Ray Bradbury","Virginia Woolf","Jane Austen","Asian / Pacific Islander","Man",36,1,0,25
"control","low",0,1,1,1,0,0,1,1,1,3,2,1,4,"Virginia Woolf","John Steinbeck","J.K. Rowling","Sylvia Plath","Ray Bradbury","Michael Crichton","Charles Dickens","Hispanic / Latinx","Woman",30,0,0,25
"treat","low",1,1,1,0,1,0,0,0,0,1,1,2,0,"Jane Austen","Oscar Wilde","Nathaniel Hawthorne","Gabriel Garcia Marquez","Antoine de Saint-Exupéry","Albert Camus","Flann O'Brien","White / Caucasian","Woman",32,0,1,25
"treat","low",1,1,1,0,1,0,1,1,1,4,2,1,1,"Jane Austen","J.D. Salinger","Ernest Hemingway","Joyce Carol Oates","Sylvia Plath","Zadie Smith","Charles Dickens","White / Caucasian","Woman",48,0,1,25
"treat","high",1,0,1,1,1,0,0,1,0,3,4,3,3,"Joyce Carol Oates","Isabel Allende","George Orwell","Victor Hugo","J.R.R. Tolkien","Virginia Woolf","Ernest Hemingway","White / Caucasian","Woman",66,0,1,25
"control","low",0,1,1,1,0,0,1,0,0,3,2,2,1,"Jane Austen","Virginia Woolf","Zadie Smith","Kurt Vonnegut","Gabriel Garcia Marquez","Charles Dickens","George Orwell","White / Caucasian","Woman",57,0,1,25
"control","high",0,1,1,1,0,1,0,0,0,6,3,0,2,"Jane Austen","Joyce Carol Oates","Maya Angelou","J.K. Rowling","Zadie Smith","Sylvia Plath","Ayn Rand","Black or African American","Woman",30,0,0,25
"control","high",0,1,1,1,0,1,0,0,1,2,4,2,4,"Neil Gaiman","J.R.R. Tolkien","J.K. Rowling","Margaret Atwood","George Orwell","Charles Dickens","Isabel Allende","White / Caucasian","Man",39,1,1,25
"control","low",0,1,1,1,0,0,0,0,0,2,2,3,3,"Michael Crichton","Jane Austen","F. Scott Fitzgerald","Nathaniel Hawthorne","J.K. Rowling","Charles Dickens","Gabriel Garcia Marquez","White / Caucasian","Woman",47,0,1,25
"control","high",0,1,1,1,0,0,1,1,1,3,2,3,2,"Charles Dickens","Maya Angelou","Jane Austen","Ernest Hemingway","J.K. Rowling","Oscar Wilde","Herman Melville","White / Caucasian","Man",39,1,1,25
"control","high",0,1,1,1,0,1,0,0,1,2,2,5,5,"Charles Dickens","Jane Austen","Lucy Maud","J.R.R. Tolkien","Jack London","Rudyard Kipling","J.K. Rowling","White / Caucasian","Woman",57,0,1,25
