"gender_feedback","forms_shown","sold30m_shown","classic_shown","female_pick","forms_pick","sold30m_pick","classic_pick","base_gender","choice-1","choice-2","choice-3","choice-4","choice-5","choice-6","choice-7","race","gender","age","gender_code","race_code","poli","poli_numeric","poli_centered","poli_party","party_democrat","party_independent","party_republican","internal1Z","internal2Z","internal3Z","internal4Z","internal","external1Z","external2Z","external3Z","external","num_excluded_total"
0,1,1,1,1,1,0,0,1,"J.R.R. Tolkien","Cormac McCarthy","Michael Crichton","F. Scott Fitzgerald","Kurt Vonnegut","Zadie Smith","Joyce Carol Oates","White / Caucasian","Man",36,1,1,"2Liberal",2,-2,"Democrat",1,0,0,0.360306125380367,1.40121349229893,1.30195635927084,1.35914112440327,1.10565427533835,1.78896777623924,1.8117431655792,2.52228477983763,2.04099857388536,126
0,1,1,1,0,1,1,1,5,"Joyce Carol Oates","Lucy Maud","Jane Austen","Isabel Allende","Zadie Smith","F. Scott Fitzgerald","Gabriel Garcia Marquez","White / Caucasian","Woman",39,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
1,0,1,1,0,0,0,1,0,"Michael Crichton","J.D. Salinger","Charles Dickens","J.R.R. Tolkien","John Steinbeck","F. Scott Fitzgerald","Nathaniel Hawthorne","Asian / Pacific Islander","Man",44,1,0,"5Slightly conservative",5,1,"Independent",0,1,0,0.360306125380367,-0.658637286530808,1.30195635927084,-0.704854508707238,0.0746926723532907,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
1,1,1,0,0,0,1,1,1,"George Orwell","Jane Austen","Kurt Vonnegut","J.R.R. Tolkien","Ray Bradbury","Ernest Hemingway","Charles Dickens","White / Caucasian","Man",28,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37240198319039,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.173035809067605,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,1,1,1,"Herman Melville","George Orwell","Jack London","Lucy Maud","Ernest Hemingway","John Steinbeck","Charles Dickens","White / Caucasian","Woman",72,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,-1.15783766133466,-1.17359998123824,-1.20180587009616,-1.22085341698487,-1.18852423241348,-1.05337060354983,-1.03422473511071,-0.986574176579196,-1.02472317174658,126
1,1,0,1,0,0,0,1,1,"F. Scott Fitzgerald","Ernest Hemingway","Sylvia Plath","Jack London","J.R.R. Tolkien","Ray Bradbury","Michael Crichton","White / Caucasian","Man",34,1,1,"5Slightly conservative",5,1,"Republican",0,0,1,1.37240198319039,-0.658637286530808,0.30045146752404,1.35914112440327,0.593339322146722,0.652032424323613,1.24254958544122,1.93747495376816,1.27735232117766,126
0,1,1,1,0,1,0,1,2,"Jane Austen","Zadie Smith","F. Scott Fitzgerald","Cormac McCarthy","Ian McEwan","George Saunders","Kurt Vonnegut","White / Caucasian","Woman",41,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,0.843142216125642,-0.292084556764395,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
1,0,1,1,1,0,0,1,3,"Lucy Maud","John Steinbeck","Jack London","Zadie Smith","Gabriel Garcia Marquez","Isabel Allende","Jane Austen","White / Caucasian","Woman",37,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.37240198319039,1.40121349229893,1.80270880514424,1.35914112440327,1.48386635125921,1.22050010028143,1.8117431655792,1.35266512769868,1.46163613118644,126
1,1,0,1,1,0,0,1,1,"Isabel Allende","Ray Bradbury","J.R.R. Tolkien","Michael Crichton","F. Scott Fitzgerald","Herman Melville","Jane Austen","White / Caucasian","Woman",33,0,1,"1Extremely liberal",1,-3,"Democrat",1,0,0,1.8784499120954,1.91617618700636,1.80270880514424,1.8751400326809,1.86811873423172,2.35743545219706,-1.03422473511071,-0.986574176579196,0.112212180169049,126
1,1,0,1,0,0,0,1,1,"J.D. Salinger","Jane Austen","Charles Dickens","John Steinbeck","Jack London","J.R.R. Tolkien","Ernest Hemingway","White / Caucasian","Woman",67,0,1,"7Extremely conservative",7,3,"Republican",0,0,1,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-0.465031154972732,-0.401764350509726,-0.450566144358158,126
0,1,1,1,0,0,0,1,3,"Jane Austen","Charles Dickens","Nathaniel Hawthorne","Sylvia Plath","Zadie Smith","J.R.R. Tolkien","Michael Crichton","White / Caucasian","Woman",33,0,1,"2Liberal",2,-2,"Democrat",1,0,0,-0.651789732429653,-0.658637286530808,-0.701053424222761,-0.704854508707238,-0.679083737972615,-0.484902927592016,-1.03422473511071,-0.401764350509726,-0.640297337737485,126
